domain	aggregate	commands	queries	schema_file	store_method	memory_adapter	drizzle_adapter	hr_table	effective_truth_row	emission_registry	key_tests	overall
compensation-benefits	compensation-grade	create;update;archive	none	schemas/compensation.ts	grade CRUD on HumanResourcesCompensationStore	Y	Y	hr_compensation_grade	yes	audit_only	compensation-benefits.test.ts	Pass
compensation-benefits	salary-band	create;supersede;archive	none	schemas/compensation.ts	band CRUD + overlap guards	Y	Y	hr_salary_band	yes	audit_only	same (min/mid/max; overlap)	Pass
compensation-benefits	employee-compensation	create;end	none	schemas/compensation.ts	employee comp CRUD + active unique	Y	Y	hr_employee_compensation	yes	domain_event compensation.changed.v1	same; apply review test	Pass
compensation-benefits	compensation-review	create-draft;record-recommendation;finalize;apply-approved-result	none	schemas/compensation.ts	review workflow store methods	Y	Y	hr_compensation_review	yes	mixed (apply = domain_event)	same (finalize guard; apply)	Pass
compensation-benefits	compensation-proposal	create;amend;approve	get;list	schemas/compensation.ts + recruitment offer link	proposal store methods	Y	Y	hr_compensation_proposal	no	domain_event on approve (recruitment slice)	recruitment + compensation tests (adjacent)	Partial
compensation-benefits	benefit-plan	create;update;archive	none	schemas/compensation.ts	plan CRUD	Y	Y	hr_benefit_plan	yes	audit_only	compensation-benefits.test.ts	Pass
compensation-benefits	benefit-enrollment	enrol;end;cancel	none	schemas/compensation.ts	enrollment CRUD + active unique	Y	Y	hr_benefit_enrollment	yes	domain_event benefit-enrollment.changed.v1	same (duplicate active)	Pass
compensation-benefits	approved-compensation-handoff	none	get	schemas/compensation.ts	getApprovedCompensationHandoff	Y	Y	derived read	no	N/A	same (compensation.read gate)	Pass
performance	performance-cycle	create;update;open;close;cancel;add/remove participant	get;list;list participants	schemas/performance.ts	cycle store methods	Y	Y	hr_performance_cycle	yes	mixed (open = domain_event)	human-resources.performance.test.ts	Pass
performance	performance-goal	create;update;submit;approve;reject;record-progress;close;cancel	get;list by employee	schemas/performance.ts	goal store methods	Y	Y	hr_performance_goal	no	mixed (approve = domain_event)	same (weight sum; period)	Pass
performance	performance-review	start;self/manager assessment;return;acknowledge;finalize;reopen	get;list;pending manager;employee history	schemas/performance.ts	review store methods	Y	Y	hr_performance_review	no	mixed (finalize/reopen domain_event)	same (workflow; confidential redaction)	Pass
performance	improvement-plan	create;open;acknowledge;checkpoint;amend;complete;close-unsuccessful;cancel	get;list	schemas/performance.ts	PIP store methods	Y	Y	hr_performance_improvement_plan	no	mixed (open/complete domain_event)	same (PIP from review)	Pass
learning	learning-course	create;update;archive (+ activate store-only)	get;list	schemas/learning.ts	course CRUD (+ activateCourse store)	Y	Y	hr_learning_course	yes (operational)	audit_only (activate classified)	human-resources.learning.test.ts	Partial
learning	learning-session	create;start;complete;cancel	get;list	schemas/learning.ts	session store methods	Y	Y	hr_learning_session	yes (scheduled)	audit_only	same	Pass
learning	learning-assignment	create;enrol;waive	get;list	schemas/learning.ts	assignment store methods	Y	Y	hr_learning_assignment	no	domain_event on create	same (duplicate active)	Pass
learning	learning-completion	record	get by assignment;list	schemas/learning.ts	completion store methods	Y	Y	hr_learning_completion	no	audit_only (legacy)	same	Pass
learning	employee-certification	issue;revoke;expire	get;list	schemas/learning.ts	certification store methods	Y	Y	hr_employee_certification	no	mixed (expire domain_event)	same	Pass
