domain	primary_source	commands	queries	schema_file	store_methods	memory_adapter	drizzle_adapter	hr_table	effective_truth_row	emission_registry	key_tests	overall
person	src/workforce-foundation/person.ts	createPerson;updatePersonName	getPersonById	schemas/workforce-foundation.ts	getPersonById;findPersonByIdempotencyKey;createPerson;updatePersonName	Y	Y	hr_person	no	yes (create)	human-resources.workforce-foundation.commands.test.ts;human-resources.worker-foundation.test.ts;human-resources.foundation.parity.test.ts	Pass
worker	src/workforce-foundation/worker.ts	createWorker;changeWorkerType;changeWorkerStatus	getWorkerById	schemas/workforce-foundation.ts	getWorkerById;findWorkerByPersonId;findWorkerByEmployeeId;findWorkerByIdempotencyKey;createWorker;changeWorkerType;changeWorkerStatus	Y	Y	hr_worker	yes (versioned-current)	yes (create;change type/status)	same as person	Pass
classification	src/workforce-foundation/classification.ts	none (taxonomy)	none	schemas/workforce-foundation.ts (enums)	embedded in worker	Y (via worker)	Y (via worker)	hr_worker checks	N/A	N/A	human-resources.worker-foundation.test.ts	N/A
employee	src/core/employee.ts	createEmployee;updateEmployee	getEmployeeById;listEmployees	schemas/core.ts	getEmployeeById;findEmployeeByIdempotencyKey;createEmployee;updateEmployee;listEmployees	Y	Y	hr_employee	no	yes (create)	human-resources.core.test.ts;human-resources.core.parity.test.ts	Pass
employment	src/core/employment.ts	createEmployment;amendEmployment	getEmployment	schemas/core.ts	getEmploymentById;findOpenEmploymentByEmployee;findEmploymentByEmployeeAsOf;createEmployment;amendEmployment	Y	Y	hr_employment	yes (bounded-assignment)	no	human-resources.core.test.ts;human-resources.core.parity.test.ts	Partial
employment-contract	src/core/employment-contract.ts	createEmploymentContract	getEmploymentContract	schemas/core.ts	getEmploymentContractById;createEmploymentContract	Y	Y	hr_employment_contract	yes (bounded-assignment)	no	same as employment	Partial
assignment	src/core/assignment.ts	createAssignment;endAssignment	getAssignment	schemas/organization.ts	getAssignmentById;findOpenAssignmentByEmployment;findAssignmentByEmploymentAsOf;createAssignment;endAssignment	Y	Y	hr_work_assignment	yes (bounded-assignment)	no	human-resources.core.test.ts;position-occupancy.test.ts;position-occupancy.parity.test.ts	Partial
organization-context	src/core/org-context.ts	none	resolveEmployeeOrgContextAsOf	schemas/org-context.ts	composed query (employment+assignment+position+reporting+calendar)	Y (via core reads)	Y (via core reads)	none (derived)	no	N/A	human-resources.foundation.parity.test.ts	Partial
department	src/organization/department.ts	create;update;activate;archive	get;list;getOrganizationTree	schemas/organization.ts	dept CRUD + tree on HumanResourcesCoreStore	Y (organization slice)	Y (organization slice)	hr_department	yes (versioned-current)	no	human-resources.organization.test.ts;human-resources.organization.parity.test.ts	Pass
job	src/organization/job.ts	create;update;activate;archive	get;list	schemas/organization.ts	job CRUD on HumanResourcesCoreStore	Y	Y	hr_job	yes (versioned-current)	no	same as department	Pass
position	src/organization/position.ts	create;update;activate;freeze;close	get;list;getPositionOccupancyAsOf	schemas/organization.ts	position CRUD + occupancy on HumanResourcesCoreStore	Y	Y	hr_position	yes (versioned-current)	no	organization tests;position-occupancy.test.ts;position-occupancy.parity.test.ts	Pass
reporting-line	src/organization/reporting-line.ts	assignPrimary;close;replacePrimary	resolvePrimaryManager;listDirectReports	schemas/organization.ts	reporting-line CRUD + resolve on HumanResourcesCoreStore	Y	Y	hr_reporting_line	yes (bounded-assignment)	no	human-resources.organization.parity.test.ts (overlap)	Pass
onboarding	src/lifecycle/onboarding.ts	start;completeTask;complete	getCase;listTasks	schemas/lifecycle.ts	onboarding case/task store methods	Y	Y	hr_onboarding_case;hr_onboarding_task	no	no	human-resources.lifecycle.test.ts;human-resources.lifecycle.parity.test.ts	Partial
probation	src/lifecycle/probation.ts	open;extend;recordOutcome	get	schemas/lifecycle.ts	probation store methods	Y	Y	hr_probation_review	no	no	lifecycle tests	Partial
confirmation	src/lifecycle/confirmation.ts	confirmEmployment	get	schemas/lifecycle.ts	confirmation store methods	Y	Y	hr_employment_confirmation	no	no	lifecycle tests	Partial
transfer	src/lifecycle/transfer.ts	transferAssignment	none	schemas/lifecycle.ts	findTransferByIdempotencyKey;transferAssignment	Y	Y	hr_employment_movement;hr_work_assignment (mutated)	no	no	lifecycle tests;lifecycle.parity.test.ts (timestamp parity CLOSED Slice 1.2)	Partial
termination	src/lifecycle/termination.ts	finalizeTermination	get	schemas/lifecycle.ts	getTermination;findTerminationByIdempotencyKey;finalizeTermination	Y	Y	hr_termination	no	no	lifecycle tests;lifecycle.parity.test.ts	Partial
offboarding	src/lifecycle/offboarding.ts	start;completeTask;recordExitInterview;recordClearance;complete	getCase;listTasks;getClearance	schemas/lifecycle.ts	offboarding store methods	Y	Y	hr_offboarding_case;hr_offboarding_task;hr_clearance	no	no	lifecycle tests	Partial
requisition	src/recruitment/requisition.ts	draft;amend;submit;approve;open;hold;close;cancel	get;list	schemas/recruitment.ts	requisition store methods	Y	Y	hr_job_requisition	no	no	human-resources.recruitment.test.ts (blocked)	Gap
candidate	src/recruitment/candidate.ts	create;updateProfile	get;list	schemas/recruitment.ts	candidate store methods	Y	Y (broken mapper)	hr_candidate	no	no	recruitment tests (all fail at create)	Gap
application	src/recruitment/application.ts	create;status transitions	get;list	schemas/recruitment.ts	application store methods	Y	Y	hr_candidate_application	no	no	recruitment tests (blocked)	Gap
interview	src/recruitment/interview.ts	schedule;cancel;recordEvaluation	get;list;getEvaluation	schemas/recruitment.ts	interview store methods	Y	Y	hr_interview;hr_interview_evaluation	no	no	recruitment tests (blocked)	Gap
offer	src/recruitment/offer.ts	create;amend;issue;accept;decline;expire;withdraw	get;list	schemas/recruitment.ts	offer store methods	Y	Y	hr_employment_offer	no	no	recruitment tests (blocked)	Gap
