concept	current_definitions	paths_symbols	identical_or_conflicting	canonical_owner	derivation_direction	severity	affected_domain_clusters
IDs and branded types	Zod `.brand<"HumanResources*Id">()` on UUID strings; parse helpers in brands.ts	`src/brands.ts` · domain schemas import brands	Identical pattern across domains; 50+ brand types in one file	`src/brands.ts` + per-aggregate schema re-use	Domain schema → brands.ts → store/command boundaries	P3	A,B,C
Date (calendar)	`isoDateSchema` regex `YYYY-MM-DD`	`src/schemas/common.ts` · compensation/leave/time/lifecycle schemas	Identical where used	`src/schemas/common.ts#isoDateSchema`	Input Zod → domain types → store records	P2	A,B,C
Timestamp (instant)	`isoDateTimeSchema` Zod `.datetime({ offset: true })`	`src/schemas/common.ts` · audit/event fields	Identical	`src/schemas/common.ts#isoDateTimeSchema`	Input → domain → Drizzle timestamptz	P2	A,B,C
Effective ranges	`effectiveFrom` + optional/nullable `effectiveTo` on domain records; `shared/effective-range.ts` resolver	`src/schemas/*` · `src/shared/effective-range.ts` · `src/effective-truth-adoption.ts`	Identical field naming; resolver ownership centralized	`src/shared/effective-range.ts` (algorithm) · domain schemas (field names)	Store row → shared resolver → query/command output	P1	A,B,C
Effective lineage	predecessor/successor fields + `shared/effective-lineage.ts`	`src/shared/effective-lineage.ts` · leave policy rows in adoption matrix	Identical for classified aggregates	`src/shared/effective-lineage.ts`	Store → lineage resolver → historical queries	P1	B,C
Money amounts	Decimal string regex `^\d+(\.\d{1,4})?$`; `compareMoneyOrder` in compensation-money	`src/schemas/compensation.ts` · `src/shared/compensation-money.ts` · `src/types.ts` (currencyCode)	Identical within HR; **potential conflict vs payroll minor-units** (OPEN-DECISION for payroll handoff)	`src/schemas/compensation.ts#moneyAmountSchema`	Zod input → domain string → store column	P1	C (+ payroll boundary)
Currency codes	3-letter uppercase Zod schema + `CurrencyLookupPort`	`src/schemas/compensation.ts` · `src/ports.ts` · `compensation-benefits/currency-lookup.ts`	Identical	`src/schemas/compensation.ts#currencyCodeSchema` + `@afenda/master-data` via lookup port	Input → lookup port → persisted code	P2	C
Organization context (runtime)	`organizationId` stamped by composition root; schemas forbid tenant injection	`src/schemas/common.ts#humanResourcesMutationContextSchema` · all command inputs	Identical	`src/schemas/common.ts` + apps/web mutation context	App session → Action → command options → store WHERE clause	P0	A,B,C
Organization dimensions (historical)	`HumanResourcesOrganizationDimensions` keyed by kind; assignment snapshot on work assignment	`src/ports.ts#OrganizationDimensionDirectoryPort` · `src/core/org-context.ts` · assignment types	**Conflicting authority:** enterprise.md still describes null cost centre / jurisdiction shortcut; disk resolves keys from assignment snapshot when present	`src/ports.ts` (port contract) · `@afenda/master-data` (directory owner OPEN-DECISION)	Directory port → assignment snapshot → `resolveEmployeeOrgContextAsOf`	P0	A
Mutation metadata	`HumanResourcesMutationMeta`: correlationId operation causationId idempotencyKey	`src/shared/mutation-meta.ts` · audit/outbox payloads	Identical	`src/shared/mutation-meta.ts#buildMutationMeta`	Command → store adapter → audit/outbox ports	P1	A,B,C
Concurrency version	`humanResourcesExpectedVersionSchema`; store records expose `version`; errors `STALE_VERSION` / `CONCURRENCY_CONFLICT`	`src/schemas/common.ts` · `src/error-codes.ts` · store write methods	Identical pattern; not every aggregate enforces in adapters (domain-cluster verify)	Per-aggregate store contract + shared error codes	Client expectedVersion → command → store optimistic check	P1	A,B,C
Idempotency keys	`humanResourcesIdempotencyKeySchema`; per-command fingerprints in `shared/fingerprint.ts`	`src/schemas/common.ts` · `src/shared/fingerprint.ts` · store findByIdempotencyKey* methods	Mixed: fingerprint helpers domain-specific; key column naming varies by aggregate	`src/schemas/common.ts` (shape) · domain fingerprint functions (semantics)	Command input → fingerprint → store dedupe	P1	A,B,C
Audit facts	`AuditFactInput` / `AuditFactPort` → `@afenda/audit` drizzle store	`src/ports.ts` · `src/production-ports.ts#createSqlAuditFactPort`	Identical	`src/ports.ts` (contract) · `@afenda/audit` (persistence)	Store mutation → port.record → audit table	P1	A,B,C
Domain event payloads	`OutboxFactInput` with `HumanResourcesEventType`; schemas in `@afenda/events`	`src/ports.ts` · `src/mutation-emission-registry.ts` · `@afenda/events/schemas`	**Partial coverage:** registry lists 88/286 commands; event types centralized in events package	`@afenda/events/schemas` (type SSOT) · HR registry (command→emission map)	Command happy path → outbox port → domain_events	P0	A,B,C
Permissions	`human-resources.{aggregate}.{action}` string constants	`src/permissions.ts` (99 codes) · `src/module.manifest.ts` authorization maps	Identical naming family; manifest must map every command/query	`src/permissions.ts` + generated registers from manifest	Manifest → command guard → apps/web authz port	P1	A,B,C
Authorization entry points	(1) manifest permission guards (2) resource-aware port (3) contextual policies (4) ER case-access-control	`src/authorization.ts` · `src/shared/contextual-authorization.ts` · `src/employee-relations/case-access-control.ts` · `src/sensitive-operation-policies.ts`	**Conflicting / duplicated:** four parallel mechanisms without single facade	OPEN-DECISION: unify under contextual-authorization + thin manifest guard vs keep ER special-case	Apps/web port → chosen HR entry → command	P0	A,B,C
