hr_ent_id	requirement	enterprise_md_severity	consolidated_status	evidence_refs	blocking_finding_ids	owning_repair_mission	notes
HR-ENT-01	Tenancy inventory accurate	Pass	complete	00-authority-map.md; audit:tenancy-nulls	—	—	106 hr_* mutation tables align with hard-tenant registry
HR-ENT-02	Lifecycle remains honest	Pass	complete	00-authority-map.md; module.manifest.ts lifecycle scaffolded	—	—	Honest scaffolded posture retained
HR-ENT-03	Person/worker foundation	Pass	complete	10-workforce-foundation-cluster.md; cluster-a/02-aggregate-matrix.tsv	—	—	Foundation parity 2/2; worker idempotency tests green
HR-ENT-04	Deterministic historical org context	Major	partial	10-workforce-foundation-cluster.md; cluster-a/01-domain-findings.md	HR-COREORG-P1-004	HR-ENT-02-ORG-CONTEXT	OPEN-DECISION-04 RATIFIED (Slice 0.2) → hybrid master-data keys + assignment snapshots; disk resolves when snapshot present; assignments without dimensions still fail closed
HR-ENT-05	Package-wide effective truth	Pass	partial	01-cross-cutting-baseline.md; 03-cross-cutting-conflicts.md	HR-XCUT-P0-002; HR-COREORG-P1-003; HR-OPS-P1-004	HR-ENT-03-EFFECTIVE-TRUTH	OPEN-DECISION-01 RATIFIED (Slice 0.2); matrix authoritative for 33/106 tables only
HR-ENT-06	Contextual and field authorization	Major	partial	01-cross-cutting-baseline.md; 30-governance-risk-planning-cluster.md	HR-XCUT-P0-001; HR-GOV-P1-003; HR-GOV-P2-005	HR-ENT-04-AUTH-PRIVACY	OPEN-DECISION-02 RATIFIED (Slice 0.2) → one facade + ER plugin; four parallel surfaces remain until owner mission; HR-GOV-P0-001 / ER-CASE-LIST-ACL CLOSED (Slice 0.1); ER DB parity = evidence residual only
HR-ENT-07	Privacy retention legal hold	Major	gap	01-cross-cutting-baseline.md; cluster-a/01-domain-findings.md	HR-XCUT-P0-004; HR-GOV-P0-003	HR-ENT-04-AUTH-PRIVACY	OPEN-DECISION-03 RATIFIED (Slice 0.2); privacy port unwired; HR-COREORG-P0-001 consent CLOSED (Slice 0.1) — do not re-list as blocker
HR-ENT-08	Shared workflow tasks approvals	Major	partial	20-workforce-operations-cluster.md; 30-governance-risk-planning-cluster.md	—	— (architecture gate)	Domain-local leave/time approval flows; no platform workflow owner
HR-ENT-09	Document e-signature capability	Major	partial	30-governance-risk-planning-cluster.md	HR-GOV-P2-001; HR-GOV-P2-003	HR-ENT-09-PLATFORM-DOCUMENT-BOUNDARY	Vault reference validation only; platform storage/scanning external
HR-ENT-10	Integration and bulk data	Major	gap	30-governance-risk-planning-cluster.md	HR-GOV-P1-004	—	No HR bulk import/export framework; platform facts partial
