phase	slice_id	title	depends_on	status	goal
0	CA-0.1	Authority, catalog and package scaffold	None	DONE	Register the greenfield bounded context before domain coding and create a minimal buildable package with no fabricated behavior.
0	CA-0.2	Core contracts, permissions, errors and reference ports	CA-0.1	DONE	Define the stable greenfield contracts used by every later vertical.
0	CA-0.3	Database foundation and atomic mutation kernel	CA-0.2	OPEN	Build the same-transaction infrastructure required before material statutory writes.
0	CA-0.4	First thin vertical — draft legal-company registration	CA-0.3	OPEN	Prove the complete package-to-database-to-Action-to-UI path with a real, deliberately narrow domain operation.
1	CA-1.1	Legal-company registry and jurisdiction profile	Phase 0 DONE	OPEN	Expand the thin draft root into a jurisdiction-aware legal-company aggregate.
1	CA-1.2	Effective legal names and legal forms	CA-1.1	OPEN	Record multilingual statutory names and legal-form history without rewriting the party master.
1	CA-1.3	Corporate identifiers, financial years and registered activities	CA-1.2	OPEN	Complete the remaining legal-company identity facts while protecting Master Data tax authority.
1	CA-1.4	Registered offices, legal establishments and premises	CA-1.3	OPEN	Distinguish statutory establishments from physical premises and preserve legal-address history.
1	CA-1.5	Company status, financial lifecycle and Phase 1 journey	CA-1.4	OPEN	Close legal-company lifecycle with controlled activation, suspension, strike-off, liquidation, dissolution, restoration and archival.
2	CA-2.1	Governance bodies and memberships	Phase 1 DONE	OPEN	Create effective governance bodies and membership history.
2	CA-2.2	Statutory offices, appointments, qualifications and consent	CA-2.1	OPEN	Model jurisdiction-required offices and the evidence needed to hold them.
2	CA-2.3	Officer declarations, disqualifications and conflicts	CA-2.2	OPEN	Complete officer eligibility, independence and matter-specific conflict evidence.
2	CA-2.4	Meetings, notices, participants and quorum	CA-2.3	OPEN	Create an evidentiary meeting process before decisions and resolutions.
2	CA-2.5	Votes, resolutions, minutes and implementation actions	CA-2.4	OPEN	Complete the governance decision chain from motion through implementation.
3	CA-3.1	Delegation-of-authority policies and rules	Phase 2 DONE	OPEN	Create versioned policies that answer who may approve or sign a subject/action at a date and threshold.
3	CA-3.2	Mandates, signatories and powers of attorney	CA-3.1	OPEN	Record specific delegated instruments and their holders.
3	CA-3.3	Company seal/chop identity, custody and use	CA-3.2	OPEN	Protect physical or digital company seals and prove every custody transfer and use.
3	CA-3.4	Maker-checker enforcement and authority decision API	CA-3.3	OPEN	Integrate external approvals and expose one reliable authorization-resolution contract to Afenda composition roots.
4	CA-4.1	Share classes and class rights	Phase 3 DONE	OPEN	Define authorized security classes and rights without posting ownership yet.
4	CA-4.2	Immutable capital transaction ledger and holdings as-of	CA-4.1	OPEN	Post balanced allotment, transfer, buyback, cancellation, redemption, conversion, split, consolidation, reduction and reversal transactions.
4	CA-4.3	Security certificates and certificate events	CA-4.2	OPEN	Maintain a legal certificate register tied to ledger-derived eligible holdings.
